stage,workload,workers,block_mib,trial,warmup,arm,phase,process_ms,verified,hashed,cached,read_bytes,cpu_hashes,gpu_hashes,gpu_setup_ms,calibration_ms,pgo_enabled,pgo_samples,pgo_exploration_jobs,gpu_overflow_jobs,cpu_spill_jobs
real-learning,small,4,1,3,False,new-cpu,cache,493.60299995169044,True,0,20000,0,0,0,0.0,0.0,1,0,0,0,0
real-learning,small,4,1,3,False,new-auto,fresh,1420.3733000904322,True,20000,0,348672000,20000,0,0.0,0.0,1,311,0,0,0
real-learning,small,4,1,3,False,new-auto,cache,496.2676998693496,True,0,20000,0,0,0,0.0,0.0,1,0,0,0,0
real-learning,small,4,1,4,False,new-no-pgo,fresh,1427.315599983558,True,20000,0,348672000,20000,0,0.0,0.0,0,0,0,0,0
real-learning,small,4,1,4,False,new-no-pgo,cache,520.3879999462515,True,0,20000,0,0,0,0.0,0.0,0,0,0,0,0
real-learning,small,4,1,4,False,new-cpu,fresh,1415.555799845606,True,20000,0,348672000,20000,0,0.0,0.0,1,311,0,0,0
real-learning,small,4,1,4,False,new-cpu,cache,508.244700031355,True,0,20000,0,0,0,0.0,0.0,1,0,0,0,0
real-learning,small,4,1,4,False,baseline-auto,fresh,1394.6086999494582,True,20000,0,348672000,20000,0,0.0,0.0,,,,0,0
real-learning,small,4,1,4,False,baseline-auto,cache,504.1175000369549,True,0,20000,0,0,0,0.0,0.0,,,,0,0
real-learning,small,4,1,4,False,new-auto,fresh,1367.8982998244464,True,20000,0,348672000,20000,0,0.0,0.0,1,310,0,0,0
real-learning,small,4,1,4,False,new-auto,cache,496.83289998210967,True,0,20000,0,0,0,0.0,0.0,1,0,0,0,0
real-learning,small,4,1,5,False,baseline-auto,fresh,1382.0136000867933,True,20000,0,348672000,20000,0,0.0,0.0,,,,0,0
real-learning,small,4,1,5,False,baseline-auto,cache,486.47010000422597,True,0,20000,0,0,0,0.0,0.0,,,,0,0
real-learning,small,4,1,5,False,new-no-pgo,fresh,1436.186600010842,True,20000,0,348672000,20000,0,0.0,0.0,0,0,0,0,0
real-learning,small,4,1,5,False,new-no-pgo,cache,485.2144999895245,True,0,20000,0,0,0,0.0,0.0,0,0,0,0,0
real-learning,small,4,1,5,False,new-auto,fresh,1459.1326001100242,True,20000,0,348672000,20000,0,0.0,0.0,1,310,0,0,0
real-learning,small,4,1,5,False,new-auto,cache,518.932200036943,True,0,20000,0,0,0,0.0,0.0,1,0,0,0,0
real-learning,small,4,1,5,False,new-cpu,fresh,1452.9905000235885,True,20000,0,348672000,20000,0,0.0,0.0,1,311,0,0,0
real-learning,small,4,1,5,False,new-cpu,cache,520.5522999167442,True,0,20000,0,0,0,0.0,0.0,1,0,0,0,0
real-learning,small,4,1,6,False,new-no-pgo,fresh,1385.3413998149335,True,20000,0,348672000,20000,0,0.0,0.0,0,0,0,0,0
real-learning,small,4,1,6,False,new-no-pgo,cache,508.4633999504149,True,0,20000,0,0,0,0.0,0.0,0,0,0,0,0
real-learning,small,4,1,6,False,new-auto,fresh,1440.4732999391854,True,20000,0,348672000,20000,0,0.0,0.0,1,311,0,0,0
real-learning,small,4,1,6,False,new-auto,cache,488.9720000792295,True,0,20000,0,0,0,0.0,0.0,1,0,0,0,0
real-learning,small,4,1,6,False,new-cpu,fresh,1432.8213999979198,True,20000,0,348672000,20000,0,0.0,0.0,1,311,0,0,0
real-learning,small,4,1,6,False,new-cpu,cache,488.6352999601513,True,0,20000,0,0,0,0.0,0.0,1,0,0,0,0
real-learning,small,4,1,6,False,baseline-auto,fresh,1408.328799996525,True,20000,0,348672000,20000,0,0.0,0.0,,,,0,0
